Application: Tecan i-control,,,,"Tecan i-control , 1.11.1.0",,,,
Device: infinite 200Pro,,,,Serial number: 1602000080,,,,Serial number of connected stacker:
Firmware: V_3.40_01/15_Infinite (Dec 23 2014/12.45.11),,,,"MAI, V_3.40_01/15_Infinite (Dec 23 2014/12.45.11)",,,,
,,,,,,,,
Date:,9/30/2024,,,,,,,
Time:,2:11:39 PM,,,,,,,
,,,,,,,,
,,,,,,,,
System,,,,DESKTOP-R891HJ3,,,,
User,,,,DESKTOP-R891HJ3\Barrick Lab,,,,
Plate,,,,Greiner 96 Flat Bottom Transparent Polystyrene Cat. No.: 655101/655161/655192 [GRE96ft.pdfx],,,,
Plate-ID (Stacker),,,,,,,,
,,,,,,,,
Wait (Plate),,,,On,Target Temperature: 37 °C,,,
,,,,,,,,
Wait (Plate Temperature),,,,Valid Range: 36.5 - 37.5 °C,,,,
,,,,,,,,
List of actions in this measurement script:,,,,,,,,
Kinetic,,,,,,,,
Fluorescence,,,,,,,,
Fluorescence,,,,,,,,
Absorbance,,,,,,,,
Shaking (Orbital) Duration:,,,,700,s,,,
Shaking (Orbital) Amplitude:,,,,1,mm,,,
,,,,,,,,
3 Labels,,,,,,,,
Kinetic Measurement,,,,,,,,
Kinetic duration,,,,2:00:00,,,,
Interval Time,,,,0:15:00,,,,
Mode,,,,Fluorescence Top Reading,,,,
Excitation Wavelength,,,,480,nm,,,
Emission Wavelength,,,,525,nm,,,
Excitation Bandwidth,,,,9,nm,,,
Emission Bandwidth,,,,20,nm,,,
Gain,,,,60,Manual,,,
Number of Flashes,,,,19,,,,
Integration Time,,,,20,µs,,,
Lag Time,,,,0,µs,,,
Settle Time,,,,0,ms,,,
Z-Position (Manual),,,,20800,µm,,,
Mode,,,,Fluorescence Top Reading,,,,
Excitation Wavelength,,,,590,nm,,,
Emission Wavelength,,,,645,nm,,,
Excitation Bandwidth,,,,9,nm,,,
Emission Bandwidth,,,,20,nm,,,
Gain,,,,92,Manual,,,
Number of Flashes,,,,25,,,,
Integration Time,,,,20,µs,,,
Lag Time,,,,0,µs,,,
